title,author,length
Ravenous Kingpin,Eva Winners,Length: 7 hrs and 54 mins
By Any Other Name,Jodi Picoult,Length: 18 hrs and 25 mins
Madness,Shantel Tessier,Length: 23 hrs and 33 mins
Priest: A Love Story,Sierra Simone,Length: 8 hrs and 7 mins
Oath of the Survivor,James Meyer,Length: 14 hrs and 43 mins
Iron Flame,Rebecca Yarros,Length: 28 hrs and 16 mins
A Court of Wings and Ruin,Sarah J. Maas,Length: 25 hrs and 9 mins
The Two Towers,J. R. R. Tolkien,Length: 20 hrs and 46 mins
Something About a Highlander Box Set,Angeline Fortin,Length: 35 hrs
The Finish Line,Kate Stewart,Length: 14 hrs and 39 mins
House of Sky and Breath,Sarah J. Maas,Length: 27 hrs and 42 mins
This Wild Heart,Karla Sorensen,Length: 10 hrs and 53 mins
Daughter of the Dragon,Michael G. Manning,Length: 16 hrs and 44 mins
Something in the Waters,Kim M. Watt,Length: 10 hrs and 30 mins
A Storm of Swords,George R.R. Martin,Length: 47 hrs and 34 mins
Barbara O’Neill Natural Remedies Complete Collection,Evelyn Greenwood,Length: 6 hrs and 48 mins
Iron Flame (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 9 hrs and 27 mins
"The David Wolf Mystery Thriller Series, Books 8-10",Jeff Carson,Length: 23 hrs and 29 mins
"The Mad Mick Box Set, Volume 3",Franklin Horton,Length: 29 hrs and 2 mins
The Ashes and the Star-Cursed King,Carissa Broadbent,Length: 19 hrs and 27 mins
The Five Year Lie,Sarina Bowen,Length: 12 hrs and 41 mins
The Eye of the Bedlam Bride,Matt Dinniman,Length: 26 hrs and 46 mins
Scythe & Sparrow,Brynne Weaver,Length: 11 hrs and 36 mins
The Chronicles of Narnia Complete Audio Collection,C. S. Lewis,Length: 33 hrs and 45 mins
The Power of Positive Mindset,Joseph Monfils,Length: 4 hrs and 16 mins
The Haunting of Starlight Manor,"Vincent Valentean,Marie Wilkens,Clay Wise",Length: 32 hrs and 21 mins
A Court of Mist and Fury,Sarah J. Maas,Length: 23 hrs and 16 mins
Breaking the Habit of Being Yourself,Joe Dispenza,Length: 10 hrs and 49 mins
MeatEater's American History,Steven Rinella,Length: 7 hrs and 32 mins
"The Word of Promise Audio Bible—New King James Version, NKJV: Complete Bible",Thomas Nelson Inc.,Length: 98 hrs and 1 min
The Loves of My Life,Edmund White,Length: 6 hrs and 23 mins
The Librarian Series,Brian Yansky,Length: 23 hrs and 1 min
Fourth Wing (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 7 hrs and 52 mins
Rift Magus Reborn 2,Sam Winton,Length: 7 hrs and 55 mins
Casualties of Consequence,"J.N. Chaney,Terry Maggert",Length: 13 hrs and 45 mins
Tale of the Heart Queen,Nisha J. Tuli,Length: 18 hrs and 23 mins
One Dark Window,Rachel Gillig,Length: 12 hrs and 44 mins
Scorching Lies,C.M Nyx,Length: 7 hrs and 53 mins
The Roommate Mistake,Pippa Grant,Length: 10 hrs and 27 mins
Iron Flame (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 11 hrs and 38 mins
Poor Wise Man,Mary Roberts Rinehart,Length: 12 hrs and 23 mins
The Signal,"Eric Buchman,Gabriel Urbina,Sarah Shachat",Length: 2 hrs and 39 mins
Wool,Hugh Howey,Length: 15 hrs
This Inevitable Ruin,Matt Dinniman,Length: 28 hrs and 40 mins
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,Length: 20 hrs and 36 mins
Hell's Eden,Craig DiLouie,Length: 6 hrs and 17 mins
Unshakebale Self-Love Guide for Women,Hera D.,Length: 4 hrs and 20 mins
A Court of Silver Flames,Sarah J. Maas,Length: 26 hrs and 5 mins
Golden Son,Pierce Brown,Length: 19 hrs and 3 mins
The Crash,Freida McFadden,Length: 9 hrs and 13 mins
Never Say Never,"Brea Alepoú,Skyler Snow",Length: 12 hrs and 30 mins
The Housemaid's Secret,Freida McFadden,Length: 9 hrs and 44 mins
The Well of Ascension,Brandon Sanderson,Length: 28 hrs and 56 mins
The 5 Second Rule,Mel Robbins,Length: 7 hrs and 35 mins
The Halls of Magic: Volume 2,"Annabelle Hawthorne,M.E. Thorne",Length: 14 hrs
Fae and Fare,pirateaba,Length: 61 hrs and 4 mins
Contention,Sean Oswald,Length: 15 hrs and 16 mins
Anne: The Green Gables,L.M. Montgomery,Length: 10 hrs and 30 mins
The Art and Science of Technical Analysis,Adam Grimes,Length: 17 hrs and 37 mins
A Court of Mist and Fury (Part 2 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 8 hrs and 23 mins
Rugger: The Huntress,Grey Huffington,Length: 10 hrs and 36 mins
The Nightingale,Kristin Hannah,Length: 17 hrs and 19 mins
Under an Endless Moon,A.L. Jackson,Length: 13 hrs and 44 mins
Fairytale Bureau Collection: Books1-3,Eve Langlais,Length: 13 hrs and 36 mins
Wish Upon the Stars 5,Malcolm Tent,Length: 14 hrs and 14 mins
A Clash of Kings,George R.R. Martin,Length: 37 hrs and 12 mins
Reborn as a Space Mercenary: I Woke Up Piloting the Strongest Starship! (Light Novel) Vol. 11,Ryuto,Length: 5 hrs and 56 mins
The Fellowship of the Ring,J. R. R. Tolkien,Length: 19 hrs and 7 mins
Peacocks,"Lucy Lennox,May Archer",Length: 3 hrs and 39 mins
Fatal Scandal,Marie Force,Length: 10 hrs and 16 mins
The Laws of Human Nature,Robert Greene,Length: 28 hrs and 26 mins
The Devil's Face,Christopher Artinian,Length: 10 hrs and 2 mins
Mr. Wrong Number,Lynn Painter,Length: 8 hrs and 27 mins
Defiance of the Fall 14,"TheFirstDefier,JF Brink",Length: 21 hrs and 54 mins
Wicked,Gregory Maguire,Length: 19 hrs and 42 mins
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,Length: 26 hrs and 28 mins
Capone 3,Jahquel J.,Length: 8 hrs and 56 mins
Why We Sleep,Matthew Walker,Length: 13 hrs and 52 mins
Black AF History,Michael Harriot,Length: 15 hrs and 42 mins
That Affair at Portstead Manor,Gladys Edson Locke,Length: 5 hrs and 37 mins
