Tarih,Ev Sahibi Takım,Maç Sonucu,Konuk Takım
20-09-2024,Hatayspor,0 - 1,Bodrumspor
05-10-2024,Hatayspor,1 - 1,Trabzonspor
20-10-2024,Sivasspor,3 - 2,Hatayspor
26-10-2024,Hatayspor,0 - 1,Kayserispor
03-11-2024,Eyüpspor,2 - 0,Hatayspor
09-11-2024,Hatayspor,3 - 1,Gaziantep F.K.
24-11-2024,Konyaspor,1 - 1,Hatayspor
02-12-2024,Hatayspor,1 - 1,Besiktas
08-12-2024,Buyuksehyr,3 - 0,Hatayspor
15-12-2024,Hatayspor,1 - 1,Göztepe AŞ
23-12-2024,Hatayspor,1 - 3,Adana Demirspor
05-01-2025,Fenerbahce,2 - 1,Hatayspor
11-01-2025,Hatayspor,1 - 2,Rizespor
17-01-2025,Hatayspor,1 - 1,Galatasaray
27-01-2025,Kasimpasa,5 - 4,Hatayspor
01-02-2025,Hatayspor,2 - 3,Antalyaspor
07-02-2025,Samsunspor,2 - 0,Hatayspor
10-08-2024,Kasimpasa,2 - 3,Konyaspor
19-08-2024,Hatayspor,1 - 1,Kasimpasa
25-08-2024,Kasimpasa,2 - 2,Adana Demirspor
31-08-2024,Rizespor,0 - 1,Kasimpasa
15-09-2024,Kasimpasa,0 - 2,Fenerbahce
22-09-2024,Kasimpasa,0 - 0,Antalyaspor
28-09-2024,Galatasaray,3 - 3,Kasimpasa
05-10-2024,Kasimpasa,0 - 0,Bodrumspor
20-10-2024,Alanyaspor,1 - 2,Kasimpasa
26-10-2024,Kasimpasa,1 - 4,Samsunspor
02-11-2024,Besiktas,1 - 3,Kasimpasa
08-11-2024,Kasimpasa,1 - 2,Kayserispor
24-11-2024,Sivasspor,0 - 0,Kasimpasa
06-12-2024,Trabzonspor,2 - 2,Kasimpasa
13-12-2024,Kasimpasa,2 - 0,Eyüpspor
23-12-2024,Buyuksehyr,2 - 2,Kasimpasa
05-01-2025,Kasimpasa,2 - 2,Gaziantep F.K.
13-01-2025,Göztepe AŞ,5 - 0,Kasimpasa
19-01-2025,Konyaspor,3 - 3,Kasimpasa
27-01-2025,Kasimpasa,5 - 4,Hatayspor
02-02-2025,Adana Demirspor,3 - 5,Kasimpasa
09-02-2025,Kasimpasa,3 - 2,Rizespor
17-08-2024,Kayserispor,1 - 2,Sivasspor
31-08-2024,Konyaspor,0 - 0,Kayserispor
15-09-2024,Kayserispor,2 - 2,Eyüpspor
19-09-2024,Trabzonspor,2 - 2,Kayserispor
23-09-2024,Göztepe AŞ,3 - 0,Kayserispor
30-09-2024,Kayserispor,0 - 3,Besiktas
05-10-2024,Buyuksehyr,1 - 1,Kayserispor
19-10-2024,Kayserispor,2 - 2,Gaziantep F.K.
26-10-2024,Hatayspor,0 - 1,Kayserispor
02-11-2024,Kayserispor,0 - 0,Adana Demirspor
08-11-2024,Kasimpasa,1 - 2,Kayserispor
23-11-2024,Kayserispor,2 - 6,Fenerbahce
01-12-2024,Rizespor,3 - 0,Kayserispor
08-12-2024,Kayserispor,2 - 0,Alanyaspor
15-12-2024,Antalyaspor,2 - 0,Kayserispor
22-12-2024,Kayserispor,1 - 5,Galatasaray
05-01-2025,Bodrumspor,1 - 1,Kayserispor
11-01-2025,Kayserispor,0 - 1,Samsunspor
25-01-2025,Sivasspor,5 - 2,Kayserispor
01-02-2025,Kayserispor,0 - 0,Trabzonspor
08-02-2025,Kayserispor,3 - 2,Konyaspor
10-08-2024,Kasimpasa,2 - 3,Konyaspor
16-08-2024,Konyaspor,1 - 2,Galatasaray
24-08-2024,Bodrumspor,3 - 1,Konyaspor
31-08-2024,Konyaspor,0 - 0,Kayserispor
14-09-2024,Samsunspor,0 - 1,Konyaspor
21-09-2024,Konyaspor,0 - 0,Sivasspor
29-09-2024,Trabzonspor,3 - 2,Konyaspor
06-10-2024,Konyaspor,2 - 1,Eyüpspor
20-10-2024,Besiktas,2 - 0,Konyaspor
27-10-2024,Gaziantep F.K.,3 - 1,Konyaspor
03-11-2024,Konyaspor,3 - 2,Buyuksehyr
10-11-2024,Göztepe AŞ,2 - 0,Konyaspor
24-11-2024,Konyaspor,1 - 1,Hatayspor
30-11-2024,Adana Demirspor,0 - 1,Konyaspor
07-12-2024,Konyaspor,1 - 1,Antalyaspor
14-12-2024,Rizespor,1 - 1,Konyaspor
03-01-2025,Alanyaspor,2 - 1,Konyaspor
13-01-2025,Konyaspor,2 - 3,Fenerbahce
19-01-2025,Konyaspor,3 - 3,Kasimpasa
25-01-2025,Galatasaray,1 - 0,Konyaspor
31-01-2025,Konyaspor,3 - 1,Bodrumspor
08-02-2025,Kayserispor,3 - 2,Konyaspor
12-08-2024,Rizespor,1 - 1,Buyuksehyr
17-08-2024,Adana Demirspor,1 - 2,Rizespor
25-08-2024,Rizespor,0 - 5,Fenerbahce
31-08-2024,Rizespor,0 - 1,Kasimpasa
14-09-2024,Galatasaray,5 - 0,Rizespor
22-09-2024,Rizespor,0 - 1,Samsunspor
28-09-2024,Alanyaspor,1 - 0,Rizespor
04-10-2024,Rizespor,2 - 1,Antalyaspor
21-10-2024,Bodrumspor,0 - 1,Rizespor
02-11-2024,Sivasspor,2 - 1,Rizespor
09-11-2024,Rizespor,3 - 1,Trabzonspor
23-11-2024,Eyüpspor,1 - 2,Rizespor
01-12-2024,Rizespor,3 - 0,Kayserispor
09-12-2024,Gaziantep F.K.,1 - 0,Rizespor
14-12-2024,Rizespor,1 - 1,Konyaspor
22-12-2024,Göztepe AŞ,3 - 0,Rizespor
03-01-2025,Rizespor,1 - 1,Besiktas
11-01-2025,Hatayspor,1 - 2,Rizespor
18-01-2025,Buyuksehyr,2 - 0,Rizespor
26-01-2025,Rizespor,3 - 2,Adana Demirspor
02-02-2025,Fenerbahce,3 - 2,Rizespor
09-02-2025,Kasimpasa,3 - 2,Rizespor
11-08-2024,Samsunspor,0 - 2,Besiktas
18-08-2024,Gaziantep F.K.,0 - 1,Samsunspor
01-09-2024,Hatayspor,0 - 3,Samsunspor
14-09-2024,Samsunspor,0 - 1,Konyaspor
18-09-2024,Samsunspor,2 - 0,Buyuksehyr
22-09-2024,Rizespor,0 - 1,Samsunspor
28-09-2024,Samsunspor,4 - 3,Göztepe AŞ
06-10-2024,Adana Demirspor,1 - 3,Samsunspor
20-10-2024,Samsunspor,2 - 2,Fenerbahce
26-10-2024,Kasimpasa,1 - 4,Samsunspor
04-11-2024,Samsunspor,2 - 0,Antalyaspor
10-11-2024,Galatasaray,3 - 2,Samsunspor
24-11-2024,Samsunspor,1 - 1,Alanyaspor
30-11-2024,Samsunspor,4 - 0,Bodrumspor
08-12-2024,Eyüpspor,3 - 0,Samsunspor
21-12-2024,Sivasspor,0 - 0,Samsunspor
04-01-2025,Samsunspor,2 - 1,Trabzonspor
11-01-2025,Kayserispor,0 - 1,Samsunspor
18-01-2025,Besiktas,0 - 0,Samsunspor
24-01-2025,Samsunspor,2 - 1,Gaziantep F.K.
01-02-2025,Buyuksehyr,4 - 0,Samsunspor
07-02-2025,Samsunspor,2 - 0,Hatayspor
11-08-2024,Sivasspor,0 - 0,Trabzonspor
17-08-2024,Kayserispor,1 - 2,Sivasspor
24-08-2024,Sivasspor,0 - 1,Eyüpspor
01-09-2024,Besiktas,2 - 0,Sivasspor
14-09-2024,Sivasspor,3 - 2,Gaziantep F.K.
21-09-2024,Konyaspor,0 - 0,Sivasspor
27-09-2024,Sivasspor,1 - 2,Buyuksehyr
05-10-2024,Göztepe AŞ,3 - 2,Sivasspor
20-10-2024,Sivasspor,3 - 2,Hatayspor
25-10-2024,Adana Demirspor,2 - 4,Sivasspor
02-11-2024,Sivasspor,2 - 1,Rizespor
10-11-2024,Fenerbahce,4 - 0,Sivasspor
24-11-2024,Sivasspor,0 - 0,Kasimpasa
29-11-2024,Antalyaspor,2 - 1,Sivasspor
08-12-2024,Sivasspor,2 - 3,Galatasaray
13-12-2024,Bodrumspor,2 - 0,Sivasspor
21-12-2024,Sivasspor,0 - 0,Samsunspor
12-01-2025,Sivasspor,1 - 1,Alanyaspor
20-01-2025,Trabzonspor,4 - 0,Sivasspor
25-01-2025,Sivasspor,5 - 2,Kayserispor
31-01-2025,Eyüpspor,1 - 0,Sivasspor
08-02-2025,Sivasspor,0 - 2,Besiktas
11-08-2024,Sivasspor,0 - 0,Trabzonspor
01-09-2024,Eyüpspor,0 - 0,Trabzonspor
15-09-2024,Trabzonspor,1 - 1,Besiktas
19-09-2024,Trabzonspor,2 - 2,Kayserispor
23-09-2024,Gaziantep F.K.,0 - 0,Trabzonspor
