title,author,length
The Villainess Is an SS+ Rank Adventurer 7,By: Kaye Ng,Length: 12 hrs and 13 mins
When the Moon Hits Your Eye,By: John Scalzi,Length: 10 hrs and 5 mins
"The Mad Mick Box Set, Volume 3",By: Franklin Horton,Length: 29 hrs and 2 mins
"Sylver Seeker, Books 1-4: A LitRPG Adventure",By: Kennit Kenway,Length: 86 hrs and 55 mins
Hunting Adeline,By: H. D. Carlton,Length: 17 hrs and 24 mins
The Witches of Scotland,By: Steven P Aitchison,Length: 5 hrs and 3 mins
Siren in the Rain,By: Chloe Archer,Length: 9 hrs and 53 mins
The Power of Positive Mindset,By: Joseph Monfils,Length: 4 hrs and 16 mins
The Gate of the Feral Gods,By: Matt Dinniman,Length: 18 hrs and 3 mins
The Freedom Fleet,By: Daniel Arenson,Length: 16 hrs and 48 mins
Binding 13,"By: Chloe Walsh, Antona Simongiovanni - traducteur",Length: 22 hrs and 53 mins
The Bookstore Keepers,By: Alice Hoffman,Length: 1 hr and 2 mins
Phantom,By: H. D. Carlton,Length: 8 hrs and 54 mins
My Funny Demon Valentine,By: Aurora Ascher,Length: 10 hrs and 46 mins
The Path to Loving Him,By: Meghan Quinn,Length: 13 hrs and 50 mins
Fearless,By: Lauren Roberts,Length: 17 hrs and 30 mins
Rain & Resonance,By: Aria Rainhart,Length: 3 hrs and 35 mins
Crown of Midnight,By: Sarah J. Maas,Length: 12 hrs and 43 mins
"Chance, Annotated",By: Joseph Conrad,Length: 16 hrs and 54 mins
The Adventures of the Infallible Godahl,By: Frederick Irving Anderson,Length: 5 hrs
Madness,By: Shantel Tessier,Length: 23 hrs and 33 mins
The Fourth Mind,By: Whitley Strieber,Length: 8 hrs and 40 mins
The Bennet Inheritance,By: Jann Rowland,Length: 14 hrs and 57 mins
Smooth Sailing,By: Kristen Ashley,Length: 12 hrs and 24 mins
Leo,By: Deon Meyer,Length: 15 hrs and 5 mins
The Only Middle School Survival Guide You'll Ever Need,By: DebbieAnn Lewis,Length: 4 hrs and 6 mins
Queen of Shadows,By: Sarah J. Maas,Length: 20 hrs and 43 mins
Capone 3,By: Jahquel J.,Length: 8 hrs and 56 mins
Barbara O’Neill Natural Remedies Complete Collection,By: Evelyn Greenwood,Length: 6 hrs and 48 mins
The Butcher's Masquerade,By: Matt Dinniman,Length: 23 hrs and 33 mins
Lethal Prey,By: John Sandford,Length: 11 hrs and 12 mins
Mr. Bingley: Just as a Gentleman Ought to Be,By: Brandon Dragan,Length: 8 hrs and 26 mins
Never Say Never,"By: Brea Alepoú, Skyler Snow",Length: 12 hrs and 30 mins
Money Management for Teens Made Easy,By: FinanceMinds Academy,Length: 4 hrs and 32 mins
A Tempting Arrangement,By: J. Wilder,Length: 9 hrs and 59 mins
The Hero + Vegas = No Regrets,By: Louise Bay,Length: 7 hrs and 37 mins
Alas de Ónix [Onyx Storm],By: Rebecca Yarros,Length: 27 hrs and 46 mins
Three Meant to Be,By: MN Bennet,Length: 12 hrs and 2 mins
Credence,By: Penelope Douglas,Length: 16 hrs and 55 mins
Rugger: The Huntress,By: Grey Huffington,Length: 10 hrs and 36 mins
The Rise and Fall of the Third Reich,By: William L. Shirer,Length: 57 hrs and 11 mins
Neighborhood Watch 9: After the EMP,By: E.E. Isherwood,Length: 9 hrs and 20 mins
Between the Lines,By: Christina C. Jones,Length: 3 hrs and 35 mins
Mental Toughness for Young Volleyball Players,By: Taylor Reed,Length: 3 hrs
A Tempting Arrangement,By: J. Wilder,Length: 9 hrs and 59 mins
What Color Is Your Parachute?,By: Richard N. Bolles,Length: 8 hrs and 11 mins
Dave the Villager 39,By: Dave Villager,Length: 1 hr and 2 mins
The Wormwood Prophecy,By: Thomas Horn,Length: 7 hrs and 39 mins
Miss Amelia's List,By: Mercedes Lackey,Length: 13 hrs and 7 mins
The Art of Stage Dancing,By: Ned Wayburn,Length: 12 hrs and 9 mins
Promised in Blood,By: Sadie Kincaid,Length: 10 hrs and 44 mins
Fourth Wing,By: Rebecca Yarros,Length: 21 hrs and 22 mins
Fourth Wing (Part 2 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 9 hrs and 22 mins
Leyline Magus Omnibus: Books 1-3,"By: Isaac Keyes, Marcus Sloss",Length: 27 hrs and 6 mins
The Women,By: Kristin Hannah,Length: 14 hrs and 57 mins
A Court of Frost and Starlight,By: Sarah J. Maas,Length: 6 hrs and 23 mins
Sherlock Holmes: The Definitive Collection,"By: Arthur Conan Doyle, Stephen Fry - introductions",Length: 71 hrs and 57 mins
The Adventures of the Infallible Godahl,By: Frederick Irving Anderson,Length: 5 hrs
Lord of the Dragon Riders Omnibus: Books 1-3,"By: Turner Tellborn, Marcus Sloss",Length: 28 hrs and 39 mins
Morning Star,By: Pierce Brown,Length: 21 hrs and 50 mins
Fourth Wing (Part 2 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 9 hrs and 22 mins
The Women,By: Kristin Hannah,Length: 14 hrs and 57 mins
A Court of Frost and Starlight,By: Sarah J. Maas,Length: 6 hrs and 23 mins
Sherlock Holmes: The Definitive Collection,"By: Arthur Conan Doyle, Stephen Fry - introductions",Length: 71 hrs and 57 mins
Rift Magus Reborn 2,By: Sam Winton,Length: 7 hrs and 55 mins
Lord of the Dragon Riders Omnibus: Books 1-3,"By: Turner Tellborn, Marcus Sloss",Length: 28 hrs and 39 mins
Morning Star,By: Pierce Brown,Length: 21 hrs and 50 mins
Grimmwald: Book 1,By: Jay Aury,Length: 11 hrs and 10 mins
The Roommate Mistake,By: Pippa Grant,Length: 10 hrs and 27 mins
The Software Engineer's Guidebook,By: Gergely Orosz,Length: 15 hrs
Oathbringer,By: Brandon Sanderson,Length: 55 hrs and 5 mins
A Storm of Swords,By: George R.R. Martin,Length: 47 hrs and 34 mins
"The Vagus Nerve Solution: Optimize Total Body Health with Simple Techniques to Reduce Stress, Soothe Anxiety, Improve Digestion, and Ease Chronic Pain",By: Lorilee Lucas,Length: 6 hrs and 21 mins
Costa Rica Travel and Adventure Guide,By: Ocean Breeze Adventures,Length: 4 hrs and 1 min
The Ashes and the Star-Cursed King,By: Carissa Broadbent,Length: 19 hrs and 27 mins
The Hero of Ages,By: Brandon Sanderson,Length: 27 hrs and 25 mins
"Microdosing for Health, Healing, and Enhanced Performance","By: James Fadiman PhD, Jordan Gruber JD",Length: 11 hrs and 8 mins
Finlay Donovan Digs Her Own Grave,By: Elle Cosimano,Length: 9 hrs and 11 mins
A Gentleman for Lady Juniper,By: Sally Britton,Length: 7 hrs and 28 mins
Empire of Storms,By: Sarah J. Maas,Length: 25 hrs and 18 mins
Words of Radiance,By: Brandon Sanderson,Length: 48 hrs and 15 mins
"Harry Potter and the Sorcerer's Stone, Book 1",By: J.K. Rowling,Length: 8 hrs and 18 mins
The Boyfriend,By: Freida McFadden,Length: 9 hrs and 20 mins
The End of Insanity: Part 1,By: KamikazePotato,Length: 18 hrs and 38 mins
Rise of the Strongest Girl Next Door 1,"By: Yuki Knightley, Gwen Grayson",Length: 10 hrs
"Harry Potter and the Deathly Hallows, Book 7",By: J.K. Rowling,Length: 21 hrs and 36 mins
Rhythm of War,By: Brandon Sanderson,Length: 57 hrs and 26 mins
Never Lie,By: Freida McFadden,Length: 7 hrs and 20 mins
Rift Magus Reborn 2,By: Sam Winton,Length: 7 hrs and 55 mins
Master of the Manor Omnibus: Books 1-3,By: Dante King,Length: 30 hrs and 8 mins
A Dragon of Black Glass,By: James Rollins,Length: 23 hrs and 13 mins
Sherlock Holmes: A Year of Mystery 1886,"By: Richard Ryan, Chris Chan, Rob Nisbet, David Marcum, Will Murray, Mike Adamson, Paul Hiscock, Katy Darby, Derrick Belanger, Stephen Herczeg, Hasan Acram, Gustavo Bondony, Shelby Phoenix",Length: 12 hrs and 52 mins
"Harry Potter and the Half-Blood Prince, Book 6",By: J.K. Rowling,Length: 18 hrs and 32 mins
USS Freedom: Hydromass,By: Mark Wayne McGinnis,Length: 9 hrs and 59 mins
Creation's Bane,By: Kevin Sinclair,Length: 19 hrs and 3 mins
The Best Erotic Short Stories of 2025,By: Rayna Russell,Length: 3 hrs and 35 mins
Priest: A Love Story,By: Sierra Simone,Length: 8 hrs and 7 mins
Jesus from Outer Space,By: Richard Carrier,Length: 7 hrs and 42 mins
The Housemaid's Secret,By: Freida McFadden,Length: 9 hrs and 44 mins
Shadow Work Rebirth 2-in-1,By: Isabelle Grey,Length: 11 hrs and 12 mins
The Genius,By: Theodore Dreiser,Length: 31 hrs and 49 mins
Denali,By: Austin Bunn,Length: 1 hr and 16 mins
"Solving Single, 10 Year Anniversary Edition",By: G.L. Lambert,Length: 13 hrs and 5 mins
Net Bet,"By: Ryan Taylor, Joshua Harwood",Length: 7 hrs and 14 mins
Defiance of the Fall 14,"By: TheFirstDefier, JF Brink",Length: 21 hrs and 54 mins
The Two Towers,By: J. R. R. Tolkien,Length: 20 hrs and 46 mins
Golden State,By: Michael Hiltzik,Length: 14 hrs and 52 mins
Son of the Hero King 6,By: Hikaru Genji,Length: 8 hrs and 48 mins
Filthy Savage,By: Lilian Harris,Length: 11 hrs and 28 mins
The Well of Ascension,By: Brandon Sanderson,Length: 28 hrs and 56 mins
Trickery,"By: Jaymin Eve, Jane Washington",Length: 8 hrs and 18 mins
Crash-Landed in Love,"By: Piper Scott, Renee Fox",Length: 10 hrs and 48 mins
Back in Your Arms,By: Luke Sobota,Length: 1 hr and 2 mins
The Chronicles of Narnia Complete Audio Collection,By: C. S. Lewis,Length: 33 hrs and 45 mins
Stepbrother Dearest,By: Penelope Ward,Length: 7 hrs and 58 mins
By Any Other Name,By: Jodi Picoult,Length: 18 hrs and 25 mins
Iron Flame (Part 2 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 9 hrs and 27 mins
The Accidental Witch,By: Dakota Cassidy,Length: 6 hrs and 34 mins
Casualties of Consequence,"By: J.N. Chaney, Terry Maggert",Length: 13 hrs and 45 mins
Elon Musk,By: Walter Isaacson,Length: 20 hrs and 39 mins
Elon Musk,By: Walter Isaacson,Length: 20 hrs and 39 mins
Iron Flame,By: Rebecca Yarros,Length: 28 hrs and 16 mins
Hope Springs Books 1-3 Box Set,By: Valerie M. Bodden,Length: 18 hrs and 37 mins
A Clash of Kings,By: George R.R. Martin,Length: 37 hrs and 12 mins
The Complete Poppy War Trilogy,By: R. F. Kuang,Length: 66 hrs and 29 mins
A Court of Mist and Fury,By: Sarah J. Maas,Length: 23 hrs and 16 mins
Breaking the Habit of Being Yourself,By: Joe Dispenza,Length: 10 hrs and 49 mins
Requirements,By: SunriseCV,Length: 19 hrs and 45 mins
Filthy Savage,By: Lilian Harris,Length: 11 hrs and 28 mins
Trickery,"By: Jaymin Eve, Jane Washington",Length: 8 hrs and 18 mins
"The Word of Promise Audio Bible—New King James Version, NKJV: Complete Bible",By: Thomas Nelson Inc.,Length: 98 hrs and 1 min
Stepbrother Dearest,By: Penelope Ward,Length: 7 hrs and 58 mins
My Pucking Crush,"By: Tori Chase, Deborah Garland",Length: 8 hrs and 28 mins
The Genius,By: Theodore Dreiser,Length: 31 hrs and 49 mins
Fourth Wing (Part 1 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 7 hrs and 52 mins
Sabotage,By: Shantel Tessier,Length: 7 hrs and 12 mins
The Blind Man's Eyes,"By: Edwin Balmer, William MacHarg",Length: 11 hrs and 26 mins
The 5 Second Rule,By: Mel Robbins,Length: 7 hrs and 35 mins
Secrets of the Frostbound Cottage,"By: Heather G. Harris, Ella Stone",Length: 2 hrs and 9 mins
Golden Son,By: Pierce Brown,Length: 19 hrs and 3 mins
A Court of Silver Flames,By: Sarah J. Maas,Length: 26 hrs and 5 mins
The Five Year Lie,By: Sarina Bowen,Length: 12 hrs and 41 mins
Golden Son,By: Pierce Brown,Length: 19 hrs and 3 mins
Deal with the Devil,By: Deborah Garland,Length: 8 hrs and 18 mins
A Court of Mist and Fury (Part 2 of 2) (Dramatized Adaptation),By: Sarah J. Maas,Length: 8 hrs and 23 mins
Bedtime Stories for Stressed Adults: Mythical Gods and Heroes,By: Sleepy Willow,Length: 14 hrs and 38 mins
The Crash,By: Freida McFadden,Length: 9 hrs and 13 mins
Yesterday's Paper,By: Jean Grainger,Length: 9 hrs and 33 mins
Fae and Fare,By: pirateaba,Length: 61 hrs and 4 mins
House of Sky and Breath,By: Sarah J. Maas,Length: 27 hrs and 42 mins
Little Sunshine,By: Layla Frost,Length: 11 hrs and 35 mins
Iron Flame (Part 1 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 11 hrs and 38 mins
The Laws of Human Nature,By: Robert Greene,Length: 28 hrs and 26 mins
He Who Fights with Monsters: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 28 hrs and 56 mins
The Eye of the Bedlam Bride,By: Matt Dinniman,Length: 26 hrs and 46 mins
The Secrets We Hide,By: Berlin Wick,Length: 8 hrs and 49 mins
Fire for Effect,By: Molly Briar,Length: 9 hrs and 44 mins
Shadow Heart,By: Morgan B Lee,Length: 13 hrs and 12 mins
Reborn as a Space Mercenary: I Woke Up Piloting the Strongest Starship! (Light Novel) Vol. 11,By: Ryuto,Length: 5 hrs and 56 mins
Jorah,By: Michele Notaro,Length: 11 hrs and 12 mins
The Things We Leave Unfinished,By: Rebecca Yarros,Length: 14 hrs and 32 mins
Son of the Hero King 6,By: Hikaru Genji,Length: 8 hrs and 48 mins
The Fellowship of the Ring,By: J. R. R. Tolkien,Length: 19 hrs and 7 mins
The Maker's Metal 2,"By: Dante King, Matt Waid",Length: 8 hrs and 2 mins
The Love in Duet Collection,By: Lauren Blakely,Length: 32 hrs and 45 mins
Bedtime Stories for Stressed Adults: Mythical Gods and Heroes,By: Sleepy Willow,Length: 14 hrs and 38 mins
